question,answer
How do I cancel a request for a print book?,"If you have requested a book from one of the library branches, SWORD or OhioLINK, and no longer need it, you can cancel the request online by following the instructions below:
-Go to My Checkouts at https://holmes.lib.miamioh.edu/patroninfo.html and log in with your unique ID and password.
-Click on the ""request (hold)"" link.
-Check the box in the CANCEL column next to the titles you wish to cancel.
-Click Cancel Selected Items.
-Click Yes.

 "
What is ANOVA and when is it used?,"ANOVA stands for Analysis of Variance. A one-way ANOVA is used to analyze the effect of a factor variable with k levels <https://libanswers.lib.miamioh.edu/stats-faq/faq/342543?m=p> on a numeric response.  For example, if you were analyzing the blood pressure of study participants by gender, you would use a one-way ANOVA with two levels (male and female). The ANOVA will determine if there is a statistically significant difference between the mean blood pressure for male and female participants.  

You can also perform a two-way ANOVA if you need to analyze the effect of two factor variables instead of just one. You would use a two-way ANOVA if you wanted to add whether or not the participant exercised prior to the blood pressure measurement as a factor in the analysis."
What is a random variable?,"The formal mathematical definition of a random variable is “a function from a sample space to real numbers.”  This definition is concise, but also can be confusing.

Start by defining the sample space as all possible outcomes of an experiment. Suppose a coin is flipped two times. The sample space would be {HH, TH, HT, TT} where H represents heads and T represents tails. The sample space by itself is difficult to analyze because we don’t have any real numbers to work with. This is why random variables are used; they create a numerical outcome for the experiment. 

For the experiment above, we could assign random variables as X = the number of heads or Y = the number of tails. Both random variables can take the values 0, 1, or 2. The random variable is the function that allows us to take the outcomes of the experiment and describe a relevant numerical result.

Random variables are denoted with upper case letters (X, Y, Z, etc.) and the values the random variables assume are denoted with lowercase letters (x, y, z, etc.). "
What are common measures of spread in statistics?,"Spread describes how “wide” the dataset is. Two common measures of spread are the five-number summary and the standard deviation.

Calculating a five-number summary requires finding the minimum, maximum, median, and first and third quartiles (the 25th and 75th percentiles). The minimum and maximum tell us the range of the data, and the other three values help draw conclusions about the shape of the data. The five-number summary is often represented visually using a boxplot like the one shown below. It is important to note that the minimum and maximum are calculated using the Interquartile Range (IQR), which is found by subtracting the first quartile from the third quartile. The minimum in our five-number summary is equal to the first quartile minus 1.5 times the IQR. The maximum in our five number summary is calculated by the third quartile plus 1.5 times the IQR. This means that any points that lie beyond the minimum and maximum are represented as points and outliers in the data. The median is at the center of our boxplot.

 [Image: Here we have a horizontal boxplot that shows us the outliers (points beyond the minimum or maximum), as well as the minimum, the first quartile, the median, the third quartile, and the maximum respectively. The boxplot is also able to show us the Interquartile Range, which is the third quartile minus the first quartile.]

Unlike the five-number summary, the standard deviation is a single value.  The standard deviation is interpreted as the average distance between the data points and the mean. Smaller standard deviations suggest that the observed data is closer to the mean.

The standard deviation is calculated using another measure of spread: the variance. The variance is difficult to interpret on its own, but we can find the standard deviation by taking the square root of the variance. The sample variance can be calculated using the equation below, where \(\bar{x}\) is the sample mean, n is the sample size, and the \(x_i\) are all of the sample values.

\[s^2 = \frac{\sum_{i=1}^n (x_i-\bar{x})^2}{n-1}\]

To distinguish between the sample and population variation, we abbreviate the sample variance with \(s^2\) and the population variance with \(\sigma^2\)."
Where can I find maps of the Miami University Libraries?,"You can use Google Maps to view the Libraries' locations as well as maps of each building:

King Library map - https://goo.gl/maps/Ee43QyMHmzT2

Center for Performing Arts (Amos Music Library) - https://goo.gl/maps/eGJh1HgoWrv

Wertz Art and Architecture Library - https://goo.gl/maps/Fno5vv9NTEy

To see each floor of the building, use Google's zoom feature in the lower right hand corner of each map:

[Image: Google map example]"
What is the library's street address?,"Oxford Campus

-Amos Music Library: Center for Performing Arts, Room 120, 420 S. Patterson Ave., Oxford OH 45056.
-King Library: 151 S. Campus Ave., Oxford OH 45056.
-Wertz Art and Architecture Library: Alumni Hall, Ground floor, 350 E. Spring St., Oxford OH 45056.


Hamilton Campus: Rentschler Library: Schwarm Hall, 2nd floor, 1601 Peck Blvd., Hamilton, OH 45015

Middletown Campus: Gardner-Harvey Library: 4200 E. University Blvd., Middletown OH 45042"
How much does it cost to print in the Libraries?,Printing costs in the Libraries are $0.10/page for B&W and $0.25/page for Color.
What is P(X = x) for a continuous probability density function (pdf)?,"In order to evaluate a pdf we use integration (unlike a pmf, which uses summation). When you integrate a function over a single value, you will always get zero.  

\[\int_a^a f(x)dx = F(x)|_a^a = F(a) – F(a) = 0\]

This result is not useful. However, we can still integrate pdfs over a range of values to produce useful results. The pdf also tells us the shape of the distribution and is useful for finding cumulative density functions (CDFs)"
How do I renew books that I have checked out?,Go to My Checkouts at https://holmes.lib.miamioh.edu/patroninfo.html (also a link on the libraries' website) to renew online. Log in with your unique ID and password.
How do I use categorical predictors in a regression model?,"Categorical predictors <https://libanswers.lib.miamioh.edu/stats-faq/faq/342540?m=p> are represented with dummy (indicator) variables in a regression model. 

Think of a dummy variable as an on/off switch that has a value of 1 when the switch is turned on, and 0 when the switch is turned off. For example, if you want to include gender in a regression model, you could say that the variable has a value of 1 when the subject is female, and a value of 0 when the subject is male. The accompanying coefficient represents the change in the mean response from men to women. Note that the value of the dummy variable changes the location of the intercept but does not change the effect of other variables. 

It is also possible to fit models with categorical predictors that have more than two groups <https://libanswers.lib.miamioh.edu/stats-faq/faq/343632?m=p>."
What are database search alerts and how do I set them up?,"Search alerts can be set up to provide automatic e-mail notification whenever new search results become available. This can save research time and keep you up to date on your research topics.

These are available in many databases and generally you have to create an account to set them up.

Instructions for specific, popular, databases:

-EBSCO <http://help.ebsco.com/interfaces/EBSCO_Guides/EBSCO_Interfaces_User_Guide/How_to_Use_Search_Alerts> - Many databases
-Elsevier <https://service.elsevier.com/app/answers/detail/a_id/9832/supporthub/sciencedirect/kw/alerts/> - Science Direct, Engineering Village
-JSTOR <https://support.jstor.org/hc/en-us/articles/360008128734-Table-of-Contents-TOC-Alerts>
-Nexis Uni <http://help.lexisnexis.com/tabula-rasa/nexisuni/gh_alerts-topic?lbu=US&locale=en_US&audience=all>
-Web of Science <https://clarivate.libguides.com/woscc/saving> "
Can I bring food into the Libraries?,"Yes, food and non-alcoholic beverages are permitted in all Libraries with the exception of the Special Collections and Archives department in King Library. We do ask that you be careful when handling library materials around food and drink.

Please clean up after yourself by using the waste and recycling receptacles located in all of the Libraries.

The King Cafe sells sandwiches, snacks, candy, coffee beverages, and smoothies. Hours are available online at http://www.lib.miamioh.edu/hours/.

Vending machines are located on the ground floor of the Libraries by the King Cafe. "
Can I take a laptop out of the Libraries?,"No, laptops are for in-library library use only (3 hour checkout period). More information about technology lending and related policies is available online at http://www.lib.miamioh.edu/items-for-checkout."
"I'm doing a research project, how and where do I start?","A good first step is to articulate your topic. Write it down in a few sentences. Then pick out about three main ideas from those sentences. Brainstorm some related terms or synonyms for those main ideas, which will be your keywords when you go to search for sources.

After you have established your topic and keywords, it's time to pick a database. You can check out the Subject Guides <https://libguides.lib.miamioh.edu/?b=s> that would best fit your topic and see which databases they suggest. You can also go to the Database A-Z List <https://libguides.lib.miamioh.edu/az.php> and narrow it down by subject.

It's best to try several databases as they have different content and advanced search features that can be discipline specific. 

It's important to be flexible and adaptable when searching, as often you get too many results to look through, or too few.

Librarians are happy to talk to you about research so do contact them if you need help at any point in the process. They can be found on the Staff Directory  <https://www.lib.miamioh.edu/people>and the individual Subject Guides <https://libguides.lib.miamioh.edu/>."
What is the cost of scanning? Where can I scan?,"Scanning is free.

A book scanner is located on the ground, first, and third floors of King Library. Many of the printers throughout the library also function as scanners.  "
What are some of the different types of hypothesis tests and how do I choose which one to use?,"Here’s a few common tests that are frequently used in an intro statistics class:
-
Paired t-test – Paired t-tests are used when you don’t have independent observations. In most cases, this takes the form of a before/after study. For example, you could use a paired t-test to compare heart rates before and after study participants run a mile.

-
Z-test – This test also assumes all observations are independent. Always use the z-test when analyzing sample proportions. You can also use the z-test to compare sample means when the sample size is greater than 30, or when the sample size is less than 30 but the population is normally distributed, and the population standard deviation is known.

-
Independent samples t-test – This test assumes all observations are independent. It is used to compare sample means in cases where there are less than 30 observations, the population is normally distributed, and the population standard deviation is unknown. If the sample size is small and not normally distributed, we cannot use the z-test or the t-test.

-
Chi-Square test – This test differs from the three tests listed above because it is only used to evaluate categorical variables. Click link to learn more about when to use a chi-square test <https://libanswers.lib.miamioh.edu/stats-faq/faq/343100?m=p>."
What is the difference between an estimate and an estimator?,"These two terms are related. An estimator is a rule or formula used to create estimates.

For example, a common estimator for the population mean is \(\bar{x} = \frac{\sum_{i=1}^n x_i}{n}\). If you had a sample consisting of the numbers 1 to 5, then you could use the above formula to get an estimate of 3.  It is important to remember that while an estimate is just a single number, an estimator is a random variable with its own sampling distribution <https://libanswers.lib.miamioh.edu/stats-faq/faq/336903?m=p>."
Do the libraries offer 3D printing services?,
Where can I locate a list of Miami's current journal subscriptions?,"The Libraries' current e-journal subscriptions (as well as available e-books and databases) can be found by browsing or searching Journals by Discipline page <https://proxy.lib.miamioh.edu/login?url=https://search.ebscohost.com/login.aspx?profile=pfi>.

There are a limited number of journal subscriptions that the libraries have in print, not electronic. These can be located in the Classic Catalog <https://holmes.lib.miamioh.edu/search/> by performing a title search.

If you want to browse print journal titles, this can be done in the Classic Catalog's Advanced Search <https://holmes.lib.miamioh.edu/search/X>. Select 'material' type as 'periodical/ser' and enter an asterisk (*) as the search word. This should pull up a listing of all journals print and electronic. 

How do you tell which is print and which is electronic? The print journals will have a shelving location and call number letting you know where to find it; the electronic journals won't."
How can I access the internet via wi-fi in the Libraries?,"In order to connect to the University's wireless access service, your computer will need to have a wireless adapter installed that is Wi-Fi compatible (802.11b or 802.11b/g).
------------------

Guest Access


Guest access does not require a Miami account.

Guest access allows web browsing and is limited to using up to 384 Kbps bandwidth. VPN service using IPSec or Microsoft Windows VPN technology is also open in the Guest access role.

More information about using Miami's Guest Access <http://ithelp.muohio.edu/selfservice/rassp/KPListing/view2.jsp?k2dockey=040972654066507> and what restrictions are in place for VPN service is available in IT Help.

Full Wireless

Full access requires an active Miami account. The MU-WIRELESS network requires proper configuration before it is available to use.

MU Wireless allows full access to MUnet through an encryption standard called 802.1x. For this service to work, you must configure your computer properly. If your card does not support WPA encryption, full access will not work.

VPN can be used for full encrypted access. It provides a comparable level of encryption as 802.1x. 802.1x technology is the industry direction for encryption and is the long-term solution that Miami will support.

Connecting to VPN

-
Mac & Windows <https://www.units.miamioh.edu/uit/node/983>"
What is ANOVA and when is it used?,"ANOVA stands for Analysis of Variance. A one-way ANOVA is used to analyze the effect of a factor variable with k levels <https://libanswers.lib.miamioh.edu/stats-faq/faq/342543?m=p> on a numeric response.  For example, if you were analyzing the blood pressure of study participants by gender, you would use a one-way ANOVA with two levels (male and female). The ANOVA will determine if there is a statistically significant difference between the mean blood pressure for male and female participants.  

You can also perform a two-way ANOVA if you need to analyze the effect of two factor variables instead of just one. You would use a two-way ANOVA if you wanted to add whether or not the participant exercised prior to the blood pressure measurement as a factor in the analysis. "
Does the library offer any special privileges to Honors Students?,"Yes, the Libraries offer these extra privileges to Honors Students:

-Honors/Scholars Study Room: King Library 227 is available exclusively for Honors and Scholars students. Use your ID to enter the room, just as you would your dorm room. If you have trouble entering the room, please see someone at the circulation desk.
-Extended Checkout Time: You can check out books for a semester at a time. Any Miami book that you borrow from the library will be due on January 30. PLEASE NOTE: Any book may be recalled after you have it checked out for 3 weeks. If you receive a recall notice from the library, you must return the book by the date specified, or fines will incur. "
Do the Libraries offer 3D printing services?,"Yes. Both mediated service and self-service are located within the Makerspace in King Library (room 303). With mediated service, students, faculty, and staff can submit 3D models to be printed by staff. Charges for this service are located on the 3D Printing Drop-off & Scanning Service LibGuide <https://libguides.lib.miamioh.edu/3dprinting/>. "
How do I access the Makerspace?,
Who is the contact for the OER program?,
What employment opportunities are available in the Libraries?,"All available positions for students, librarians, unclassified, or classified staff are posted on Miami University's Job Search <http://jobs.miamioh.edu/cw/en-us/filter/?search-keyword=&location=oxford%20oh&category=library&job-mail-subscribe-privacy=agree/>. All applications should be submitted through the University site.

Information about Graduate Assistantships are listed on Miami University Libraries' Employment site <http://www.lib.miamioh.edu/libraries-employment>.

 "
What types of statistical tests should I use with the different data types?,"While the data type <https://libanswers.lib.miamioh.edu/stats-faq/faq/342540?m=p> is relevant in determining what statistical test to use, it’s equally (if not more) important to consider the research context of the problem. 

Suppose you are in charge of two studies. In one study, you want to compare the weights of participants before and after participating in a dieting program. In the other, you want to compare the average weight difference between men and women. In both cases, weight has a numeric (more specifically, ratio <https://libanswers.lib.miamioh.edu/stats-faq/faq/343638?m=p>) data type. However, you would apply a paired t-test in the first study, and a two-sample t-test to the second. The key difference is that in the first study you have two records per participant, and in the second study you only have one. As a result, the data in the first study is not independent. In this scenario, the structure of the study affected the statistical test.

Data type is still an important consideration. Numeric data often results in the calculation of means, which can lead to t-tests and ANOVAs. Categorical data generally results in the calculation of proportions, which can lead to z-tests and chi-square tests. If you are working with categorical data that has more than two groups, the type of test you perform will be affected by whether you have ordinal or nominal data."
E-resource troubleshooting,"When a problem is reported, gather some information from the patron:

-Is the patron a current Miami University faculty, staff, or student?
-Students must be currently enrolled in a degree program or course to get access to library e-resources from off campus.
-Alumni and affiliated/community borrowers do not have access to library e-resources unless they are physically on campus.


-What specific e-resource is problematic? Database, e-book, e-journal? Find It link?
-Where did the user find the problematic link?
-Classic catalog? If so, ask them to send you a link to the record.
-Books & More / Articles & More? If so, ask them to send you the permalink to the record. 
-OhioLINK central catalog?
-OhioLINK EJC/EBC?
-Journals A-Z list?
-Databases A-Z list?
-LibGuide? If so, which subject and tab was it under?
-Google Scholar?
-Other?


-Is the user on or off campus <http://libanswers.lib.miamioh.edu/faq/157202>?
-If off campus, was the user asked to log in via our proxy with their unique ID and password?


-Is the user connecting with a wireless connection or a wired connection?
-What type of computer (PC or Mac) and what browser was being used when the problem occurred?
-Sometimes resources which use plug-ins involving Adobe products are problematic on Macs.
-Some resources work better or differently depending on the browser and browser version used.


-Did the user receive an error message? If so, ask them to send you a screenshot of the error they're seeing.

------------------

Troubleshooting Basics

-Look up the user's unique ID in the MU directory <https://community.miamioh.edu/phpapps/directory/> (note that the presence of a patron record in Sierra DOES NOT indicate whether they should have access to library e-resources):
-If their unique ID or name doesn't appear at all, they will not be able to access library e-resources.
-If the word ""inactive"" or ""expired"" appears by their account in the directory, they have a courtesy account, and need to ask their department chair to renew their courtesy account access with University IT. The libraries cannot do this. 


-Check Databases A-Z <http://www.lib.miamioh.edu/databases> or the catalog to see if the e-resource in question has campus or simultaneous user limits.
-Try to reproduce the problem at your computer to determine whether the problem is isolated to one machine or user, or whether it is system-wide. Sometimes user error can account for problems encountered with e-resources.
-Try accessing the resource in a different browser like IE, Chrome, Safari, Edge, or Firefox, and see if this resolves the problem. Miami University IT officially supports Chrome.
-Try clearing the browser cache and cookies, especially for problems with EBSCO e-resources.
-Ask the patron to disable any browser plug-ins or add-ons that block content like pop-ups, Flash, or JavaScript. These can interfere with library e-resources.
-Make sure the patron isn't trying to use Miami's VPN to access e-resources. The VPN no longer provides access to library e-resources.
-Check the vendor/publisher/aggregator's website or social media site (especially Twitter) to see if there is information about product maintenance or problems.
-EBSCO posts system alerts online at https://status.ebsco.com/.
-Tech services posts vendor maintenance notices at https://libguides.lib.miamioh.edu/ts/news.


-Use a site like Is It Down Right Now? <http://www.isitdownrightnow.com/> to identify whether the entire vendor or product site is down by typing the URL of the database into the box and clicking ""CHECK"".
-If a browser security error is encountered when trying to access a database, you may still access the resource by clicking on the browser-provided link, usually labeled something like ""proceed"" or ""advanced"".

------------------

Types of Problems

Interrupted access: Sometimes resources are unavailable due to general glitchiness, heavy Internet traffic, a tech problem or downtime for maintenance. Usually a temporary situation, try again in a few minutes. The e-resources librarian may need to contact publisher/vendor about problems of more than momentary nature. Identify the vendor/publisher: vendor may provide info and status reports on their website, e-mail listserv, or Twitter feed to help communicate known access problems.
 
Authentication problem: Off-campus: Patron may not be a current Miami University faculty, staff, or student, which means they won't be able to access library e-resources. On-campus: If IP address information is incorrect at the vendor side, a database or e-resource may stop recognizing Miami University internet traffic and not allow access to the resource from on-campus users. Contact the e-resource librarian if you suspect this problem.
 
Subscription problem: Subscription status is incorrectly classified as “on hold” or canceled by publisher/aggregator, resulting in loss of access. This sometimes happens in January or June as renewals are processed by publishers. E-resources librarian may need to contact subscription agency, consortia rep or other vendor rep in order to provide proof of payment to publisher.
 
Invoice/Payment problems: For locally subscribed e-resources, e-resources librarian can check Sierra order records to make sure we have paid for the resource in the current fiscal year. There are a handful of vendors who are erratic about sending us renewals before expiration, and some of these vendors turn off access automatically even if we never received an invoice from them.
 
Subscription content discrepancies: Volumes/years listed as available by publisher differ from those believed to be included with library’s subscription. It's usually necessary for the e-resources librarian to contact the publisher in order to clarify available content for a given sub. The librarian can also check our order records in Sierra and EBSCOnet.
 
Remote access issues: Off-campus access problems occur with EZProxy access--this is sometimes the result of user error, but can be the result of a missing configuration in our EZProxy configuration file. Contact the e-resources librarian if a resource is working incorrectly from off campus. Please note: as of 2016, library resources can no longer be accessed using the VPN. All off-campus access must go through the proxied links in the catalog or A-Z list in order to work correctly. 
 
OpenURL link resolver issues: EBSCO Full Text Finder (Find It!) does not take users to the correct article or other citation. Possible causes may include incorrectly reported holdings in the FTF holdings management tool, improperly formatted metadata on the aggregator or publisher site, or an incorrect article citation, among others. Contact the e-resources librarian to report problems with the Find It! options.
 
Browser/OS compatibility issues: Issues may includes old or new versions of browsers or operating systems (Mac versus Windows) as well as browser plug-ins, add-ons, and extensions. Best to ask what browser and OS the user is working from and go from there. When in doubt, try multiple browsers like Chrome, Firefox, Edge, Safari, and IE.
 
Problems opening a PDF: Client receives a blank screen or error message when attempting to download a PDF. May require an upgrade to latest version of Adobe Acrobat and/or Web browser. If version compatibility is not an issue, clearing the browser’s cache may resolve problem.
 
Web browser not set to accept cookies: Client may receive an error message until the browser is configured to accept cookies, which are used to authenticate and track specific user information.
 
Missing content: Articles from individual issues or entire issues are missing online. Ask the e-resources librarian to investigate the problem and report to vendor/publisher. Then direct patrons to ILL or other alternatives since missing content may not be resolved immediately."
What is SWORD?,"The Southwest Ohio Regional Depository (SWORD) is specially designed for the remote storage of permanently held, little used library materials from the library collections of Central State University, Miami University, the University of Cincinnati, and Wright State University. The depository, located on Miami University's Middletown Campus, is one of five such facilities to be constructed in the State of Ohio with funding from the Ohio Board of Regents.

SWORD is designed and constructed to provide the cooperating libraries with an excellent preservation environment for storing materials in an economical, high-density shelving system. SWORD is comprised of two 30-foot tall storage modules, the first opening in September 1994 and the second in 2000. The windowless storage modules have a capacity of two million volumes and maintain temperatures and relative humidity between 58 degrees and 40% in the winter and 65 degrees and 50% in the summer. Materials housed in the modules are shelved by size and located by barcode.

Items in the depository may be requested through catalogs of the cooperating libraries (Miami University, University of Cincinnati, Wright State University, Central State University) or through the OhioLINK catalog.

Southwest Ohio Regional Depository is located at:
4200 N. University Blvd.
Middletown, OH 45042
p: 513.727.3474
Email: sword@miamioh.edu <mailto:sword@miamioh.edu>"
What is the sampling distribution for a statistic?,"When you collect multiple samples from the same population, you will get a variety of sample statistics. If you survey two different groups of women about their age, you will most likely not get the same mean age for each sample.

You can use a sampling distribution to describe the distribution of the statistic if a large number of samples were taken. In other words, the statistic is a random variable <https://libanswers.lib.miamioh.edu/stats-faq/faq/336890/?m=p> with its own probability distribution. For example, the sampling distribution of the sample mean \(\bar{x}\) can be written as \(\bar{x} \sim N(\mu, \sigma^2/n)\), where \(\mu\) is the population mean, \(\sigma^2\) is the population variance, and n is the sample size. Having knowledge about the sampling distribution is very useful when performing statistical inference."
How do I find the probabilities of the different values assumed by random variables?,"There are two different types of functions used to mathematically find probabilities: probability mass/density functions and cumulative density functions.

Probability functions are defined mathematically as \(f_X(x) = P(X = x)\), where X is a random variable and x is a real number. Probability mass functions (pmfs) are used for discrete random variables and probability density functions (pdfs) are used for continuous random variables. This distinction is made because discrete and continuous random variables <https://libanswers.lib.miamioh.edu/stats-faq/faq/343628?m=p> have different ranges.

Cumulative density functions are defined mathematically as \(F_X(x) = P(X \leq x)\), where X is a random variable and x is a real number). The CDF can be found by integrating the pdf of a continuous random variable, or by summing the pmf of a discrete random variable for all values less than or equal to x.  The pdf/pmf is also the derivative of the CDF."
What are assumptions and why are they important?,"Assumptions are characteristics of the data that you verify are true before performing statistical analysis. They are also sometimes referred to as diagnostics. Assumptions are important because if the requirements for an analysis are not met, the results of that analysis may be misleading or incorrect. For this reason, assumptions should always be checked prior to performing statistical inference."
What support do the libraries provide to faculty who are interested in incorporating makerspace technology into courses?,
How do I access the Makerspace?,
Graduate Student and Project Dragonfly staff/student access to e-resources,"Some graduate students (including many Project Dragonfly students) are unable to access library e-resources when they are not enrolled in any actual courses (even though they may be enrolled in or ""a student in"" a given program). This includes grad students who are working on their dissertations or theses but not currently enrolled for credit hours. The workaround for these students to access library e-resources is for them to obtain a University IT Services Courtesy Account.

Students need to contact their home department to obtain or renew this; their dean or dept chair or designee will need to fill out a Courtesy Account request form at https://www.apps.miamioh.edu/accounts/accrequest

For Project Dragonfly, the STUDENT must contact the program coordinators, specifically Connie Malone, directly to arrange this:

Ms. Connie M. Malone
malonecm@miamioh.edu
(513) 529-5103

Note that students in this situation may still be able to use other authorized resources like Miami email, or other resources not tied to central authorization like Sierra, and Dragonfly students may not even show in the University directory.  If they are not currently enrolled in a class in session, the solution to refer them to their home department is the same."
Does the library have a makerspace?,
Where can I find information about Miami University Libraries Special Collections and Archives?,"The Walter Havighurst Special Collections holds over 82,000 volumes, including rare books, manuscripts, and special subject collections. Collection strengths include: the history and culture of the Ohio Valley/Old Northwest Territory; the history of transportation, especially in the 19th century; the American Civil War; pre- and post-revolutionary Russian history, art and literature; William Holmes McGuffey and his Readers; 19th century gift books; and children’s literature, especially the 18th through the 20th centuries, including 19th century schoolbooks. Cataloged materials in the Special Collections & Archives may be searched through the library catalog <http://www.lib.miamioh.edu/>. For manuscript collections, please see the finding aids on the individual collection pages <http://spec.lib.miamioh.edu/home/collections/>.

The archives are comprised of three archives: the Miami University Archives, which contains manuscripts, publications, photographs, and artifacts dealing with Miami University history; the Western College Memorial Archives, which holds materials from the Board of Trustee records dating back to 1853; and the Oxford College Archives, which documents the history of the women’s college. Archival records may be accessed online through our ArchivesSpace instance <http://archivesspace.lib.miamioh.edu/>.

The Walter Havighurst Special Collections are primarily intended for the use of students and faculty at Miami University but researchers outside the University are welcome. All users are required to complete a brief registration procedure and present valid photo identification (e.g., driver’s license, student ID, etc.). Prior arrangements are not necessary before coming to Special Collections, but researchers from out of town are encouraged to contact staff in advance to confirm hours and the availability of materials. Special Collections is a closed-stacks library. All requested materials are retrieved by staff and may be used only in the Special Collections Reading Room. A Reading Room attendant is available to assist researchers and ensure the proper use of the materials.

For questions about class visits, digital resources, and gifts/donations, contact William Modrow. <mailto:modrowwm@miamioh.edu>

Hours
8:00 am - 5:00 pm 
Monday - Friday
321 King Library

Contact
Special Collections
(513) 529-3323
SpecColl@miamioh.edu <mailto:SpecColl@miamioh.edu>

Archives
(513) 529-6720
Archives@miamioh.edu <mailto:Archives@miamioh.edu>"
What is a random variable?,"The formal mathematical definition of a random variable is “a function from a sample space to real numbers.”  This definition, while concise, can also be confusing.

Start by defining the sample space as all possible outcomes of an experiment. Suppose a coin is flipped two times. The sample space would be {HH, TH, HT, TT} where H represents heads and T represents tails. The sample space by itself is difficult to analyze because there are no real numbers to work with. This is why random variables are used; they create a numerical outcome for the experiment.

For the experiment above, random variables could be assigned as X = the number of heads or Y = the number of tails. Both random variables can take the values 0, 1, or 2. The random variable is the function that takes the outcomes of the experiment and describes a relevant numerical result.

Random variables are denoted with upper case letters and the values the random variables assume are denoted with lowercase letters."
What services are available for Affiliated Patrons of the Libraries?,
Who should I contact if I have a copyright question?,"Please direct copyright questions to the Libraries' Coordinator of Scholarly Communication:

Carla Myers
(513) 529-3935
myersc2@miamioh.edu <mailto:myersc2@miamioh.edu>"
How do I reserve a library classroom or other non-study room?,"Library study rooms may be reserved <https://libanswers.lib.miamioh.edu/faq/163332> by any Miami student, faculty, or staff member.

Library classrooms (Kamm, AIS) and other internal meeting rooms (room 228, 320) are reserved for the use of the staff of the Libraries and their partners.

To inquire about exceptions, please contact the Libraries at (513) 529-4141."
Where can I find information on research metrics?,"General information about research metrics, including journal impact factors and other research impact tools like Ulrich's, Cabell's, Google Scholar, and Publish or Perish can be found on our Journal Citation Reports and Other Research Impact Tools guide <http://libguides.lib.miamioh.edu/dossier>.

Links to specific metrics:

-Journal Impact Factors - InCites  <http://www.lib.miamioh.edu/indexes/redirect/1271>Journal Citation Report <http://www.lib.miamioh.edu/indexes/redirect/1271>s database <http://www.lib.miamioh.edu/indexes/redirect/1271>
-Plum Analytics <https://plumanalytics.com/>
-Altmetircs <https://www.altmetric.com/>
-Eigenfactor <http://eigenfactor.org/>
-h-Index <https://arxiv.org/abs/physics/0508025>"
Is there a cost for using the Makerspace?,
How can alumni and other donors support the Miami University Libraries?,"Before Miami University had a campus, it had the start of a library. While the role of the Miami University Libraries has evolved throughout the university’s history, the Libraries have maintained a central presence in Miami’s student experience, spanning academic disciplines and generations of committed, hard-working students.

Whether in pursuit of academic excellence in the classroom, a research passion that goes beyond the classroom, or simply a place of peace and reflection, Miami’s students still find a welcoming and supportive community in the Miami University Libraries. Your giving advances that tradition, ensuring students have access to the knowledge, resources, spaces and personalized guidance that contribute directly to their academic and life success.

While a number of funds generously support and enhance the Miami University Libraries, we encourage you to consider four priority areas <http://www.givetomiamioh.org/s/916/16/interior-flah.aspx?sid=916&gid=1&pgid=5141>:

-The Dean’s Fund - This unrestricted fund creates the flexibility for the Dean and University Librarian to ensure the University Libraries are responsive in anticipating and meeting the needs of students and faculty.
-Technology Support - From technology basics that not all students can afford, like iPads and laptop computers, to advanced technologies, like cutting-edges computer laboratories, recording studios and 3D printing, the Miami University Libraries are a campus leader in offering access to the technologies students need to thrive in a digital world.
-The Textbook Initiative - According to a recent College Board report, today’s students spend approximately $1,200 a year on textbooks and supplies. Today’s Miami University Libraries, offer access to more than 500 textbooks from Miami’s most popular courses, ensuring students can complete textbook assignments regardless of their ability to afford a textbook.
-Special Collections & Archival Collections - From rare Shakespeare folios to accounts of early settlers and the Cradle of Coaches collection, the Walter Havighurst Special Collections and university archival collections—encompassing the histories of Miami University, Western College and Oxford College—serve as an invaluable laboratory for the humanities at Miami University. Donor support grows, preserves and promotes these treasured collections that awe and inspire our students.


For more information, please contact:
Michael Kumler '97
Director of Development
(513) 529-1957
kumlerme@MiamiOH.edu​ <mailto:kumlerme@MiamiOH.edu​>"
Why should I find a confidence interval instead of only using a hypothesis test?,"The advantage of a confidence interval <https://libanswers.lib.miamioh.edu/stats-faq/faq/342533?m=p> is that it gives you a range of possible values and provides a measure of variability. A hypothesis test <https://libanswers.lib.miamioh.edu/stats-faq/faq/343102?m=p> only looks for statistical significance.  For example, you could run a hypothesis test to determine if the mean for a given variable is zero. If the test is significant, you still don’t know any information about the true mean other than it isn’t zero. If you fit a confidence interval, then you would have a range of values that you are reasonably confident the true mean will fall into.  You can also use the confidence interval to evaluate a hypothesis test. Continuing with the above example, if the confidence interval did not include zero, you would reject the statement that the mean is equal to zero."
